creator_id,signup_date,country,platform
1,2024-01-01,UK,Blog
2,2024-01-02,Canada,Instagram
3,2024-01-03,India,Instagram
4,2024-01-04,UK,Twitter
5,2024-01-05,UK,Blog
6,2024-01-06,Canada,Instagram
7,2024-01-07,India,Twitter
8,2024-01-08,India,Blog
9,2024-01-09,UK,Twitter
10,2024-01-10,USA,YouTube
11,2024-01-11,UK,Instagram
12,2024-01-12,UK,YouTube
13,2024-01-13,UK,Blog
14,2024-01-14,UK,YouTube
15,2024-01-15,Canada,YouTube
16,2024-01-16,India,Blog
17,2024-01-17,Canada,Twitter
18,2024-01-18,Canada,YouTube
19,2024-01-19,Canada,Twitter
20,2024-01-20,UK,YouTube
21,2024-01-21,USA,Twitter
22,2024-01-22,India,Blog
23,2024-01-23,USA,YouTube
24,2024-01-24,Canada,Blog
25,2024-01-25,Canada,YouTube
26,2024-01-26,USA,Blog
27,2024-01-27,USA,Blog
28,2024-01-28,USA,YouTube
29,2024-01-29,Canada,YouTube
30,2024-01-30,Canada,YouTube
31,2024-01-31,India,Instagram
32,2024-02-01,India,Twitter
33,2024-02-02,Canada,Instagram
34,2024-02-03,USA,Instagram
35,2024-02-04,USA,Blog
36,2024-02-05,India,YouTube
37,2024-02-06,Canada,Twitter
38,2024-02-07,India,Blog
39,2024-02-08,India,Instagram
40,2024-02-09,UK,YouTube
41,2024-02-10,UK,Blog
42,2024-02-11,UK,YouTube
43,2024-02-12,USA,Blog
44,2024-02-13,Canada,YouTube
45,2024-02-14,Canada,Instagram
46,2024-02-15,Canada,Twitter
47,2024-02-16,Canada,Instagram
48,2024-02-17,UK,Twitter
49,2024-02-18,USA,YouTube
50,2024-02-19,USA,Blog
51,2024-02-20,UK,Instagram
52,2024-02-21,USA,Twitter
53,2024-02-22,UK,Instagram
54,2024-02-23,Canada,Twitter
55,2024-02-24,UK,Instagram
56,2024-02-25,Canada,Twitter
57,2024-02-26,Canada,Twitter
58,2024-02-27,India,YouTube
59,2024-02-28,UK,Twitter
60,2024-02-29,India,YouTube
61,2024-03-01,UK,Twitter
62,2024-03-02,UK,Blog
63,2024-03-03,India,Blog
64,2024-03-04,India,Blog
65,2024-03-05,UK,Twitter
66,2024-03-06,USA,YouTube
67,2024-03-07,Canada,YouTube
68,2024-03-08,India,Twitter
69,2024-03-09,Canada,Blog
70,2024-03-10,USA,Blog
71,2024-03-11,USA,YouTube
72,2024-03-12,USA,Blog
73,2024-03-13,India,Instagram
74,2024-03-14,USA,YouTube
75,2024-03-15,India,Blog
76,2024-03-16,USA,YouTube
77,2024-03-17,Canada,Instagram
78,2024-03-18,Canada,YouTube
79,2024-03-19,UK,YouTube
80,2024-03-20,Canada,YouTube
81,2024-03-21,UK,YouTube
82,2024-03-22,Canada,Instagram
83,2024-03-23,India,Twitter
84,2024-03-24,Canada,YouTube
85,2024-03-25,UK,YouTube
86,2024-03-26,UK,Blog
87,2024-03-27,USA,YouTube
88,2024-03-28,India,Blog
89,2024-03-29,Canada,Twitter
90,2024-03-30,USA,Instagram
91,2024-03-31,Canada,Instagram
92,2024-04-01,Canada,Twitter
93,2024-04-02,USA,Instagram
94,2024-04-03,USA,Twitter
95,2024-04-04,USA,Twitter
96,2024-04-05,USA,Twitter
97,2024-04-06,USA,Instagram
98,2024-04-07,Canada,Blog
99,2024-04-08,USA,Twitter
100,2024-04-09,India,YouTube
101,2024-04-10,UK,Instagram
102,2024-04-11,USA,Twitter
103,2024-04-12,USA,Twitter
104,2024-04-13,Canada,YouTube
105,2024-04-14,USA,Blog
106,2024-04-15,USA,Blog
107,2024-04-16,USA,Blog
108,2024-04-17,Canada,Twitter
109,2024-04-18,USA,Twitter
110,2024-04-19,UK,Twitter
111,2024-04-20,Canada,Instagram
112,2024-04-21,UK,YouTube
113,2024-04-22,Canada,Twitter
114,2024-04-23,USA,YouTube
115,2024-04-24,UK,YouTube
116,2024-04-25,Canada,Blog
117,2024-04-26,India,Instagram
118,2024-04-27,USA,Twitter
119,2024-04-28,Canada,Blog
120,2024-04-29,India,Blog
121,2024-04-30,Canada,Twitter
122,2024-05-01,India,YouTube
123,2024-05-02,USA,Blog
124,2024-05-03,UK,YouTube
125,2024-05-04,India,Instagram
126,2024-05-05,Canada,YouTube
127,2024-05-06,USA,Instagram
128,2024-05-07,India,YouTube
129,2024-05-08,Canada,Blog
130,2024-05-09,Canada,Blog
131,2024-05-10,Canada,Instagram
132,2024-05-11,India,Twitter
133,2024-05-12,India,Instagram
134,2024-05-13,India,Instagram
135,2024-05-14,UK,YouTube
136,2024-05-15,India,YouTube
137,2024-05-16,India,Instagram
138,2024-05-17,India,Blog
139,2024-05-18,UK,YouTube
140,2024-05-19,India,Twitter
141,2024-05-20,Canada,YouTube
142,2024-05-21,India,YouTube
143,2024-05-22,Canada,Twitter
144,2024-05-23,Canada,Instagram
145,2024-05-24,Canada,Twitter
146,2024-05-25,UK,Instagram
147,2024-05-26,UK,Instagram
148,2024-05-27,UK,Instagram
149,2024-05-28,India,Twitter
150,2024-05-29,Canada,Instagram
151,2024-05-30,UK,Blog
152,2024-05-31,UK,Twitter
153,2024-06-01,India,Blog
154,2024-06-02,UK,Instagram
155,2024-06-03,India,YouTube
156,2024-06-04,USA,Instagram
157,2024-06-05,UK,Blog
158,2024-06-06,USA,Blog
159,2024-06-07,India,Twitter
160,2024-06-08,Canada,YouTube
161,2024-06-09,UK,Twitter
162,2024-06-10,India,Blog
163,2024-06-11,Canada,Instagram
164,2024-06-12,Canada,YouTube
165,2024-06-13,USA,Instagram
166,2024-06-14,India,Instagram
167,2024-06-15,Canada,YouTube
168,2024-06-16,UK,Twitter
169,2024-06-17,UK,Instagram
170,2024-06-18,USA,Blog
171,2024-06-19,Canada,Instagram
172,2024-06-20,India,YouTube
173,2024-06-21,UK,YouTube
174,2024-06-22,Canada,YouTube
175,2024-06-23,Canada,Twitter
176,2024-06-24,USA,Instagram
177,2024-06-25,UK,Twitter
178,2024-06-26,UK,Twitter
179,2024-06-27,India,YouTube
180,2024-06-28,UK,YouTube
181,2024-06-29,India,Twitter
182,2024-06-30,UK,Instagram
183,2024-07-01,USA,Blog
184,2024-07-02,UK,Twitter
185,2024-07-03,India,Instagram
186,2024-07-04,India,YouTube
187,2024-07-05,USA,YouTube
188,2024-07-06,UK,Instagram
189,2024-07-07,UK,Blog
190,2024-07-08,USA,YouTube
191,2024-07-09,UK,YouTube
192,2024-07-10,UK,YouTube
193,2024-07-11,India,Instagram
194,2024-07-12,UK,Twitter
195,2024-07-13,UK,YouTube
196,2024-07-14,USA,Twitter
197,2024-07-15,USA,Blog
198,2024-07-16,Canada,YouTube
199,2024-07-17,India,YouTube
200,2024-07-18,UK,Blog
201,2024-07-19,UK,YouTube
202,2024-07-20,Canada,Twitter
203,2024-07-21,UK,Instagram
204,2024-07-22,India,Twitter
205,2024-07-23,Canada,Instagram
206,2024-07-24,India,Instagram
207,2024-07-25,Canada,Twitter
208,2024-07-26,Canada,Twitter
209,2024-07-27,USA,Twitter
210,2024-07-28,India,Twitter
211,2024-07-29,UK,Blog
212,2024-07-30,UK,YouTube
213,2024-07-31,India,Instagram
214,2024-08-01,UK,Twitter
215,2024-08-02,UK,Twitter
216,2024-08-03,India,Twitter
217,2024-08-04,Canada,Blog
218,2024-08-05,India,Twitter
219,2024-08-06,Canada,Twitter
220,2024-08-07,UK,Twitter
221,2024-08-08,UK,YouTube
222,2024-08-09,UK,Blog
223,2024-08-10,USA,Twitter
224,2024-08-11,Canada,Instagram
225,2024-08-12,USA,Instagram
226,2024-08-13,USA,Instagram
227,2024-08-14,India,Blog
228,2024-08-15,USA,Blog
229,2024-08-16,India,Instagram
230,2024-08-17,India,Twitter
231,2024-08-18,USA,Blog
232,2024-08-19,Canada,Instagram
233,2024-08-20,Canada,Instagram
234,2024-08-21,Canada,Twitter
235,2024-08-22,Canada,YouTube
236,2024-08-23,Canada,Blog
237,2024-08-24,USA,Twitter
238,2024-08-25,USA,Instagram
239,2024-08-26,UK,Instagram
240,2024-08-27,Canada,Twitter
241,2024-08-28,USA,Blog
242,2024-08-29,UK,YouTube
243,2024-08-30,Canada,YouTube
244,2024-08-31,India,Instagram
245,2024-09-01,UK,Blog
246,2024-09-02,USA,YouTube
247,2024-09-03,India,Blog
248,2024-09-04,India,Blog
249,2024-09-05,India,Instagram
250,2024-09-06,UK,YouTube
251,2024-09-07,USA,Twitter
252,2024-09-08,India,Instagram
253,2024-09-09,Canada,YouTube
254,2024-09-10,India,YouTube
255,2024-09-11,India,YouTube
256,2024-09-12,UK,YouTube
257,2024-09-13,UK,YouTube
258,2024-09-14,USA,Blog
259,2024-09-15,Canada,Instagram
260,2024-09-16,UK,Blog
261,2024-09-17,India,Twitter
262,2024-09-18,USA,YouTube
263,2024-09-19,India,Instagram
264,2024-09-20,India,YouTube
265,2024-09-21,UK,Instagram
266,2024-09-22,USA,Blog
267,2024-09-23,Canada,Instagram
268,2024-09-24,Canada,Twitter
269,2024-09-25,UK,Twitter
270,2024-09-26,UK,Instagram
271,2024-09-27,USA,Instagram
272,2024-09-28,Canada,Instagram
273,2024-09-29,Canada,Instagram
274,2024-09-30,Canada,Twitter
275,2024-10-01,India,YouTube
276,2024-10-02,Canada,Instagram
277,2024-10-03,India,Instagram
278,2024-10-04,USA,Twitter
279,2024-10-05,India,Twitter
280,2024-10-06,USA,Blog
281,2024-10-07,Canada,Instagram
282,2024-10-08,Canada,Blog
283,2024-10-09,USA,Twitter
284,2024-10-10,UK,Twitter
285,2024-10-11,USA,YouTube
286,2024-10-12,UK,Instagram
287,2024-10-13,India,Blog
288,2024-10-14,India,Twitter
289,2024-10-15,India,Twitter
290,2024-10-16,Canada,Blog
291,2024-10-17,India,YouTube
292,2024-10-18,UK,Twitter
293,2024-10-19,India,Instagram
294,2024-10-20,USA,Twitter
295,2024-10-21,USA,Instagram
296,2024-10-22,Canada,Blog
297,2024-10-23,USA,Instagram
298,2024-10-24,UK,Blog
299,2024-10-25,India,Instagram
300,2024-10-26,Canada,Blog
301,2024-10-27,India,Instagram
302,2024-10-28,India,YouTube
303,2024-10-29,UK,Instagram
304,2024-10-30,USA,Instagram
305,2024-10-31,USA,YouTube
306,2024-11-01,India,Twitter
307,2024-11-02,Canada,Twitter
308,2024-11-03,USA,Instagram
309,2024-11-04,Canada,YouTube
310,2024-11-05,USA,Instagram
311,2024-11-06,Canada,Blog
312,2024-11-07,UK,Blog
313,2024-11-08,Canada,Instagram
314,2024-11-09,UK,Twitter
315,2024-11-10,UK,Twitter
316,2024-11-11,Canada,Instagram
317,2024-11-12,UK,Instagram
318,2024-11-13,India,Blog
319,2024-11-14,UK,Twitter
320,2024-11-15,USA,Instagram
321,2024-11-16,Canada,Blog
322,2024-11-17,India,Twitter
323,2024-11-18,Canada,YouTube
324,2024-11-19,USA,Blog
325,2024-11-20,USA,Twitter
326,2024-11-21,USA,Twitter
327,2024-11-22,UK,Blog
328,2024-11-23,UK,YouTube
329,2024-11-24,Canada,Blog
330,2024-11-25,Canada,Twitter
331,2024-11-26,India,Instagram
332,2024-11-27,India,Instagram
333,2024-11-28,Canada,Blog
334,2024-11-29,UK,Twitter
335,2024-11-30,USA,Instagram
336,2024-12-01,Canada,Twitter
337,2024-12-02,India,Blog
338,2024-12-03,UK,Instagram
339,2024-12-04,Canada,Twitter
340,2024-12-05,Canada,Instagram
341,2024-12-06,UK,Blog
342,2024-12-07,Canada,Twitter
343,2024-12-08,UK,Instagram
344,2024-12-09,USA,Blog
345,2024-12-10,UK,Instagram
346,2024-12-11,UK,Instagram
347,2024-12-12,UK,YouTube
348,2024-12-13,Canada,YouTube
349,2024-12-14,Canada,Blog
350,2024-12-15,UK,YouTube
351,2024-12-16,Canada,Blog
352,2024-12-17,India,YouTube
353,2024-12-18,India,Instagram
354,2024-12-19,Canada,Blog
355,2024-12-20,Canada,Blog
356,2024-12-21,UK,Instagram
357,2024-12-22,USA,Blog
358,2024-12-23,Canada,Blog
359,2024-12-24,India,YouTube
360,2024-12-25,UK,Blog
361,2024-12-26,Canada,Twitter
362,2024-12-27,India,Instagram
363,2024-12-28,India,YouTube
364,2024-12-29,USA,YouTube
365,2024-12-30,UK,Twitter
366,2024-12-31,UK,Instagram
367,2025-01-01,USA,Instagram
368,2025-01-02,USA,YouTube
369,2025-01-03,UK,Blog
370,2025-01-04,UK,YouTube
371,2025-01-05,Canada,Instagram
372,2025-01-06,Canada,Twitter
373,2025-01-07,USA,YouTube
374,2025-01-08,Canada,Instagram
375,2025-01-09,India,YouTube
376,2025-01-10,Canada,Blog
377,2025-01-11,Canada,YouTube
378,2025-01-12,India,YouTube
379,2025-01-13,USA,Instagram
380,2025-01-14,India,Instagram
381,2025-01-15,Canada,Instagram
382,2025-01-16,USA,YouTube
383,2025-01-17,Canada,Blog
384,2025-01-18,India,Twitter
385,2025-01-19,India,Twitter
386,2025-01-20,Canada,Instagram
387,2025-01-21,UK,Instagram
388,2025-01-22,UK,YouTube
389,2025-01-23,India,Twitter
390,2025-01-24,India,Instagram
391,2025-01-25,UK,Blog
392,2025-01-26,UK,Blog
393,2025-01-27,Canada,Instagram
394,2025-01-28,Canada,Instagram
395,2025-01-29,UK,Twitter
396,2025-01-30,Canada,Twitter
397,2025-01-31,Canada,YouTube
398,2025-02-01,USA,Twitter
399,2025-02-02,Canada,Blog
400,2025-02-03,India,Blog
401,2025-02-04,Canada,Instagram
402,2025-02-05,Canada,Twitter
403,2025-02-06,UK,YouTube
404,2025-02-07,India,Blog
405,2025-02-08,Canada,Blog
406,2025-02-09,Canada,YouTube
407,2025-02-10,USA,YouTube
408,2025-02-11,Canada,Blog
409,2025-02-12,Canada,Blog
410,2025-02-13,USA,YouTube
411,2025-02-14,UK,Blog
412,2025-02-15,Canada,Instagram
413,2025-02-16,USA,Instagram
414,2025-02-17,India,YouTube
415,2025-02-18,UK,Twitter
416,2025-02-19,India,YouTube
417,2025-02-20,India,YouTube
418,2025-02-21,USA,Twitter
419,2025-02-22,Canada,Twitter
420,2025-02-23,USA,Twitter
421,2025-02-24,USA,Instagram
422,2025-02-25,USA,Blog
423,2025-02-26,USA,Instagram
424,2025-02-27,UK,Blog
425,2025-02-28,Canada,Instagram
426,2025-03-01,India,Blog
427,2025-03-02,India,Instagram
428,2025-03-03,Canada,Twitter
429,2025-03-04,India,YouTube
430,2025-03-05,Canada,Instagram
431,2025-03-06,India,Blog
432,2025-03-07,USA,Twitter
433,2025-03-08,India,Instagram
434,2025-03-09,Canada,Instagram
435,2025-03-10,Canada,Twitter
436,2025-03-11,Canada,Instagram
437,2025-03-12,Canada,YouTube
438,2025-03-13,Canada,Instagram
439,2025-03-14,UK,YouTube
440,2025-03-15,UK,YouTube
441,2025-03-16,India,Twitter
442,2025-03-17,Canada,Instagram
443,2025-03-18,India,Twitter
444,2025-03-19,Canada,Instagram
445,2025-03-20,Canada,Instagram
446,2025-03-21,UK,Blog
447,2025-03-22,UK,Instagram
448,2025-03-23,USA,Twitter
449,2025-03-24,UK,YouTube
450,2025-03-25,USA,Instagram
451,2025-03-26,USA,Blog
452,2025-03-27,USA,Twitter
453,2025-03-28,USA,Instagram
454,2025-03-29,USA,Twitter
455,2025-03-30,India,Blog
456,2025-03-31,UK,Blog
457,2025-04-01,USA,Twitter
458,2025-04-02,Canada,Instagram
459,2025-04-03,UK,YouTube
460,2025-04-04,UK,Blog
461,2025-04-05,USA,Instagram
462,2025-04-06,India,Instagram
463,2025-04-07,USA,YouTube
464,2025-04-08,India,Blog
465,2025-04-09,Canada,Blog
466,2025-04-10,UK,Instagram
467,2025-04-11,Canada,Instagram
468,2025-04-12,India,YouTube
469,2025-04-13,India,YouTube
470,2025-04-14,Canada,Blog
471,2025-04-15,India,Twitter
472,2025-04-16,Canada,Blog
473,2025-04-17,UK,Instagram
474,2025-04-18,Canada,Blog
475,2025-04-19,UK,Twitter
476,2025-04-20,Canada,YouTube
477,2025-04-21,India,Twitter
478,2025-04-22,Canada,Twitter
479,2025-04-23,India,Twitter
480,2025-04-24,Canada,YouTube
481,2025-04-25,Canada,Twitter
482,2025-04-26,USA,Twitter
483,2025-04-27,India,Twitter
484,2025-04-28,USA,Instagram
485,2025-04-29,India,Twitter
486,2025-04-30,USA,YouTube
487,2025-05-01,UK,Twitter
488,2025-05-02,Canada,Twitter
489,2025-05-03,India,YouTube
490,2025-05-04,India,Twitter
491,2025-05-05,Canada,YouTube
492,2025-05-06,India,Twitter
493,2025-05-07,India,YouTube
494,2025-05-08,USA,Twitter
495,2025-05-09,India,Twitter
496,2025-05-10,UK,Instagram
497,2025-05-11,UK,Instagram
498,2025-05-12,Canada,Twitter
499,2025-05-13,India,Twitter
500,2025-05-14,Canada,Blog
